airline_name,overall_rating,seat_comfort,service_quality,food_quality,onboard_entertainment,quality_price_ratio
ana-all-nippon-airways,7.550561797752809,3.3275862068965516,4.505747126436781,3.9080459770114944,3.560693641618497,3.6446886446886446
anadolujet,6.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.25
arik-air,4.08,2.3333333333333335,2.0833333333333335,1.8333333333333333,1.6363636363636365,2.2
arkefly,4.696969696969697,0.46153846153846156,0.6923076923076923,0.38461538461538464,0.38461538461538464,1.8108108108108107
arkia-israeli,6.285714285714286,3.0,3.25,1.625,1.0,3.0
asiana-airlines,8.348837209302326,4.103585657370518,4.52988047808765,4.247011952191235,3.452,4.254125412541254
asky-airlines,5.25,3.25,2.5,2.25,0.25,2.4
atlantic-airways,9.25,4.0,5.0,4.0,2.0,3.5
atlasjet-airlines,7.666666666666667,2.8181818181818183,3.1818181818181817,3.0,1.3636363636363635,3.8095238095238093
aurigny-air,7.970588235294118,3.0,4.5,3.0,7.970588235294118,3.272727272727273
austrian-airlines,6.110266159695818,3.0711743772241995,3.512455516014235,3.3790613718411553,2.265682656826568,3.2419928825622777
avianca,6.91044776119403,3.6470588235294117,3.735294117647059,3.4215686274509802,3.5294117647058822,3.404255319148936
avianca-brasil,9.0,4.666666666666667,4.333333333333333,4.333333333333333,4.333333333333333,4.666666666666667
avior-airlines,4.5,4.5,4.5,4.5,4.5,4.0
azerbaijan-airlines,6.444444444444445,4.428571428571429,4.0,4.714285714285714,3.1666666666666665,4.230769230769231
azul-linhas-aereas-brasileiras,8.548387096774194,1.4166666666666667,1.5,1.4166666666666667,0.8181818181818182,2.838709677419355
ba-cityflyer,8.108108108108109,4.5,4.5,3.8333333333333335,8.108108108108109,3.8684210526315788
bahamasair,3.0,1.0,1.0,0.0,0.0,1.5
bangkok-airways,8.12206572769953,3.7974683544303796,4.322784810126582,3.9363057324840764,1.264516129032258,3.7918781725888326
beijing-capital-airlines,10.0,5.0,5.0,2.0,1.0,5.0
belavia,7.214285714285714,2.0,2.0,7.214285714285714,7.214285714285714,3.25
berjaya-air,7.888888888888889,3.25,3.25,3.0,2.75,3.7777777777777777
bh-airlines,8.75,8.75,8.75,8.75,8.75,4.0
bhutan-airlines,8.333333333333334,4.0,4.333333333333333,4.0,4.0,5.0
biman-bangladesh,5.714285714285714,3.5,2.95,3.1578947368421053,2.3157894736842106,3.35
binter-canarias,8.833333333333334,4.25,4.25,4.5,0.0,4.0
blue-air,5.352941176470588,1.25,1.625,1.125,0.42857142857142855,1.9130434782608696
blue-islands,7.1,7.1,7.1,7.1,7.1,3.4545454545454546
blue-panorama-airlines,3.0,3.0,3.0,3.0,3.0,3.0
blue1,5.0,4.0,4.0,3.0,0.0,3.357142857142857
bluexpress,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,4.571428571428571,2.5
bmi-british-midland-international,6.398496240601504,3.509433962264151,3.6037735849056602,2.5849056603773586,0.7169811320754716,3.3181818181818183
bmi-regional,8.722222222222221,4.111111111111111,4.666666666666667,3.7058823529411766,1.6470588235294117,4.166666666666667
boliviana-de-aviacin,6.25,3.0,3.5,2.75,1.0,4.25
british-airways,5.881696428571429,3.1768631813125694,3.532814238042269,3.0814732142857144,2.6208092485549135,3.2344444444444442
brussels-airlines,6.1692307692307695,3.196078431372549,3.4901960784313726,2.574324324324324,1.4965034965034965,3.0238095238095237
buddha-air,6.5,1.5,2.0,1.5,1.5,1.0
bulgaria-air,6.5,1.103448275862069,1.206896551724138,1.1724137931034482,0.3448275862068966,1.9444444444444444
cambodia-angkor-airlines,6.541666666666667,2.9375,2.875,2.375,0.875,2.8
canadian-north,6.25,6.25,6.25,6.25,6.25,6.25
canjet-airlines,5.626666666666667,2.630434782608696,3.130434782608696,3.0217391304347827,2.8043478260869565,2.5353535353535355
cape-air,5.785714285714286,0.8,0.9,0.0,0.0,1.7647058823529411
caribbean-airlines,6.046511627906977,3.269230769230769,3.3461538461538463,3.08,2.08,2.9069767441860463
carpatair,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.0
cathay-pacific-airways,6.886639676113361,3.742914979757085,3.8927125506072873,3.4523326572008113,3.8316430020283976,3.7267206477732793
cayman-airways,5.0,3.0,3.6666666666666665,2.6666666666666665,0.3333333333333333,3.0
cebu-pacific,6.607142857142857,3.05,3.6333333333333333,1.6206896551724137,0.8793103448275862,3.2718446601941746
central-mountain-air,8.0,8.0,8.0,8.0,8.0,4.0
china-airlines,6.665116279069768,3.2941176470588234,3.5,3.1882352941176473,3.0058823529411764,3.6338028169014085
china-eastern-airlines,5.925925925925926,3.3949275362318843,3.1739130434782608,2.7644927536231885,2.229090909090909,3.442953020134228
china-southern-airlines,6.9675,3.779126213592233,3.6966019417475726,3.254854368932039,3.0709046454767726,4.021844660194175
china-united-airlines,8.0,4.0,4.0,4.0,1.0,4.0
cityjet,6.123076923076923,3.125,3.5416666666666665,3.0208333333333335,1.3191489361702127,3.1044776119402986
comair,5.8,2.3333333333333335,2.0,3.5,5.8,2.5238095238095237
condor-airlines,5.5036496350364965,2.79,3.29,2.9587628865979383,2.4375,2.8461538461538463
continental-airlines,5.015037593984962,2.9649122807017543,2.736842105263158,2.736842105263158,2.9298245614035086,2.5
conviasa,8.0,8.0,8.0,8.0,8.0,3.0
copa-airlines,6.747572815533981,3.111111111111111,3.2222222222222223,2.9444444444444446,2.260869565217391,3.0813008130081303
corendon-airlines,5.0,3.0,3.0,3.0,1.5,4.0
corsair,5.4375,2.0,4.0,2.0,0.0,3.1818181818181817
croatia-airlines,6.808510638297872,3.272727272727273,3.6363636363636362,2.5714285714285716,0.9047619047619048,3.372549019607843
csa-czech-airlines,6.817204301075269,3.515151515151515,3.9696969696969697,3.3333333333333335,2.3636363636363638,3.2604166666666665
cubana-airlines,4.7924528301886795,2.9696969696969697,2.696969696969697,2.5454545454545454,0.875,2.6530612244897958
danish-air,10.0,3.0,5.0,5.0,0.0,4.0
darwin,6.583333333333333,2.4,2.6,2.0,2.0,1.9047619047619047
delta-air-lines,6.160621761658031,3.111587982832618,3.351931330472103,2.8801742919389977,2.706013363028953,2.9871244635193133
dniproavia,7.571428571428571,7.571428571428571,7.571428571428571,7.571428571428571,7.571428571428571,4.0
dragonair,7.417322834645669,3.5851063829787235,3.978723404255319,3.648936170212766,2.6043956043956045,3.544776119402985
druk-air,7.363636363636363,3.5,4.25,4.0,0.5,3.2857142857142856
eastarjet,10.0,3.5,4.0,1.0,1.0,5.0
eastern-airways,5.925,1.8181818181818181,2.090909090909091,1.9090909090909092,0.8888888888888888,2.15625
easyjet,7.355844155844156,3.295302013422819,3.527964205816555,2.3302325581395347,1.0,3.6666666666666665
edelweiss-air,8.1,3.6315789473684212,4.473684210526316,4.052631578947368,3.5789473684210527,3.9285714285714284
egyptair,5.796019900497512,3.4054054054054053,3.060810810810811,2.9594594594594597,2.25,3.225663716814159
el-al-israel-airlines,5.612612612612613,2.675675675675676,3.175675675675676,3.0405405405405403,2.0821917808219177,2.604651162790698
emirates,6.246376811594203,3.5962373371924747,3.287988422575977,3.453488372093023,4.190406976744186,3.609261939218524
era-aviation,3.0,3.0,3.0,3.0,3.0,3.0
eritrean-airlines,6.0,6.0,6.0,6.0,6.0,4.0
estonian-air,5.266666666666667,3.6,3.5,2.5,1.8888888888888888,3.263157894736842
ethiopian-airlines,5.288888888888889,3.0114285714285716,3.302857142857143,3.16,2.281609195402299,2.985148514851485
etihad-airways,4.900970873786408,2.846601941747573,3.0349514563106794,3.0038910505836576,3.259765625,3.058252427184466
europe-airpost,9.0,4.0,4.0,4.0,3.0,5.0
eurowings,5.0625,4.0,2.5,2.5,0.0,2.5555555555555554
eva-air,7.976351351351352,4.056910569105691,4.2560975609756095,3.7439024390243905,3.7551020408163267,4.062913907284768
felix-airways,7.5,4.0,4.0,7.5,7.5,3.0
fiji-airways,5.2026143790849675,2.9395973154362416,3.161073825503356,2.2348993288590604,2.1879194630872485,2.789189189189189
finnair,6.349431818181818,3.0814332247557004,3.771986970684039,3.039087947882736,2.369281045751634,3.297814207650273
firefly,7.05,4.0,5.0,4.0,3.0,3.8518518518518516
fly540-com,5.65,1.0,1.6666666666666667,0.0,1.0,3.230769230769231
flybe,6.2703862660944205,2.8272425249169437,2.8970099667774085,1.4880546075085324,0.09154929577464789,2.424731182795699
flydubai,5.795918367346939,3.0,3.212121212121212,2.090909090909091,2.0,2.9310344827586206
flynas,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333,7.333333333333333,3.5
free-bird,4.4375,0.85,1.1,0.7,0.4,0.9
frontier-airlines,4.101214574898785,2.422062350119904,2.316546762589928,1.3292383292383292,1.4488778054862843,2.1654676258992804
garuda-indonesia,8.307692307692308,4.349431818181818,4.4772727272727275,4.034090909090909,3.7834757834757835,4.315340909090909
georgian-airways,7.0,3.5,4.0,4.0,1.0,3.0
germanwings,5.759615384615385,3.257142857142857,2.9285714285714284,1.9130434782608696,0.6029411764705882,3.125
goair,7.136363636363637,1.4545454545454546,1.3636363636363635,1.1,0.4,2.4166666666666665
gol,5.125,2.9473684210526314,3.0526315789473686,1.7647058823529411,0.875,3.1578947368421053
gulf-air,6.096551724137931,3.375,3.7083333333333335,3.5833333333333335,2.6354166666666665,3.1875
hainan-airlines,7.511627906976744,3.36734693877551,3.8979591836734695,3.673469387755102,2.7708333333333335,3.8863636363636362
hawaiian-airlines,6.0947867298578196,3.0291970802919708,3.6204379562043796,3.0291970802919708,2.411764705882353,2.9145299145299144
helvetic,8.2,8.2,8.2,8.2,8.2,3.1818181818181817
henan-airlines,8.0,8.0,8.0,8.0,8.0,4.0
hong-kong,5.708333333333333,3.0,3.625,2.0,0.625,3.3181818181818183
hong-kong-airlines,5.403846153846154,3.5384615384615383,3.3846153846153846,2.58974358974359,2.871794871794872,2.8596491228070176
hop,1.0,1.0,3.0,1.0,1.0,1.0
horizon-air,5.8125,5.8125,5.8125,5.8125,5.8125,3.4
iberia,6.321428571428571,3.1965317919075145,3.300578034682081,2.698550724637681,2.0377906976744184,3.184971098265896
icelandair,6.579591836734694,3.1988636363636362,3.721590909090909,2.6416184971098264,3.1485714285714286,3.218637992831541
indigo-airlines,8.076923076923077,3.6216216216216215,4.094594594594595,2.6301369863013697,0.8857142857142857,3.9724770642201834
insel-air,6.055555555555555,6.055555555555555,6.055555555555555,6.055555555555555,6.055555555555555,2.1785714285714284
interjet,6.555555555555555,3.3333333333333335,4.333333333333333,3.6666666666666665,1.6666666666666667,4.166666666666667
intersky,6.0,3.75,4.5,4.25,1.0,4.0
iran-air,4.782608695652174,4.0,3.857142857142857,4.142857142857143,0.5714285714285714,3.909090909090909
iran-aseman,5.75,4.0,3.3333333333333335,4.666666666666667,0.3333333333333333,3.75
island,3.0,0.5,0.5833333333333334,0.4166666666666667,0.25,0.7894736842105263
israir-airlines,3.5,1.6666666666666667,1.6666666666666667,1.0,1.0,2.25
japan-airlines,7.36144578313253,3.5258620689655173,4.336206896551724,3.6206896551724137,3.353448275862069,3.6666666666666665
jazeera-airways,4.428571428571429,4.0,5.0,4.0,4.428571428571429,4.2
jazz,8.0,2.0,5.0,4.0,0.0,4.0
jeju-air,9.0,3.0,4.0,3.0,2.0,5.0
jet-airways,5.516501650165017,3.045186640471513,3.1964636542239684,2.655511811023622,2.4393638170974157,3.075117370892019
jet2-com,6.95016611295681,3.229461756373938,3.5892351274787537,2.5828571428571427,1.0,3.4334277620396603
jetairfly,4.0,2.857142857142857,2.5714285714285716,2.5714285714285716,2.2857142857142856,2.5555555555555554
jetblue-airways,7.208955223880597,3.7301587301587302,3.5185185185185186,3.197860962566845,3.3567567567567567,3.4774774774774775
jetstar-airways,5.657657657657658,2.858227848101266,3.149367088607595,2.0,1.4404145077720207,3.1037974683544305
jetstar-asia,6.013698630136986,2.7941176470588234,2.8529411764705883,1.2424242424242424,0.375,3.392405063291139
jetstar-pacific,3.5789473684210527,2.347826086956522,2.652173913043478,1.391304347826087,0.5238095238095238,2.4358974358974357
jin-air,8.6,3.5,5.0,4.0,1.5,4.2
juneyao-airlines,5.75,3.7142857142857144,2.7142857142857144,2.857142857142857,0.7142857142857143,2.8125
kam-air,2.75,2.75,2.75,2.75,2.75,2.75
karthago-airlines,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.2857142857142856
kenya-airways,5.314814814814815,3.027972027972028,3.237762237762238,3.1188811188811187,2.2097902097902096,2.9594594594594597
kish-air,3.0,2.0,3.0,3.0,0.0,3.0
klm-royal-dutch-airlines,7.178674351585014,3.383783783783784,3.9783783783783786,3.5594594594594593,3.076294277929155,3.6297297297297297
korean-air,8.034920634920635,3.923344947735192,4.379790940766551,3.672473867595819,3.804195804195804,4.078175895765472
kulula,5.181818181818182,3.0,5.0,5.181818181818182,5.181818181818182,2.8
kuwait-airways,5.333333333333333,2.7794117647058822,3.088235294117647,3.2058823529411766,1.4705882352941178,2.8863636363636362
la-compagnie,10.0,4.0,5.0,4.0,4.0,5.0
lam-mozambique-airlines,4.4,4.4,4.4,4.4,4.4,2.090909090909091
lan-airlines,6.52191235059761,3.5186915887850465,3.5233644859813085,3.182242990654206,3.294392523364486,3.3369565217391304
lan-colombia,6.0,5.0,4.0,1.0,5.0,3.0
lan-peru,3.727272727272727,3.0,4.0,3.727272727272727,3.727272727272727,1.0
lao-airlines,8.357142857142858,2.8333333333333335,3.1666666666666665,3.0,1.6666666666666667,3.6341463414634148
liat,5.411764705882353,2.4680851063829787,1.851063829787234,0.4666666666666667,0.1111111111111111,1.643835616438356
libyan-airlines,4.2,4.2,4.2,4.2,4.2,1.0
lion-air,4.5,1.6470588235294117,1.8823529411764706,0.875,0.6666666666666666,2.6041666666666665
loch-lomond-seaplanes,7.5,5.0,5.0,0.0,5.0,5.0
loganair,10.0,4.0,5.0,5.0,10.0,3.0
lot-polish-airlines,6.335664335664336,3.4827586206896552,3.4827586206896552,3.017391304347826,1.5,3.3533333333333335
lucky-air,3.8333333333333335,4.0,3.0,3.0,0.0,2.0
lufthansa,6.993333333333333,3.3716666666666666,4.085,3.58,3.361158432708688,3.683333333333333
luxair,7.055555555555555,4.0,4.571428571428571,4.571428571428571,1.5,3.909090909090909
mahan-air,7.0,3.25,3.5,3.5,3.25,3.5555555555555554
malaysia-airlines,6.49896480331263,3.520661157024793,3.59297520661157,3.3250517598343685,3.374220374220374,3.8181818181818183
malindo-air,6.6,4.075,3.675,2.95,3.275,4.125
malm-aviation,7.4,5.0,5.0,5.0,5.0,3.75
mango,7.588235294117647,4.0,3.8333333333333335,3.2,2.4,3.4814814814814814
martinair,3.466666666666667,3.466666666666667,3.466666666666667,3.466666666666667,3.466666666666667,1.75
mea-middle-east-airlines,7.852941176470588,0.5454545454545454,0.7272727272727273,0.7272727272727273,0.7272727272727273,2.5714285714285716
meridiana,5.464285714285714,2.8974358974358974,2.948717948717949,2.5789473684210527,1.4814814814814814,2.493333333333333
miat-mongolian,6.8125,3.6666666666666665,3.8333333333333335,3.3333333333333335,2.2,3.2142857142857144
mokulele-airlines,2.875,3.0,2.75,0.625,0.375,1.6363636363636365
moldavian-airlines,8.25,8.25,8.25,8.25,8.25,4.0
monarch-airlines,6.116438356164384,2.616580310880829,3.3523316062176165,2.318537859007833,0.712401055408971,2.883419689119171
montenegro-airlines,4.818181818181818,4.0,2.0,3.0,0.0,4.0
myanmar-airways,7.214285714285714,1.75,2.0,1.5,0.5,3.2666666666666666
nepal-airlines,4.0,2.0,3.0,2.0,2.0,3.0
nextjet,3.0,1.0,2.0,4.0,0.0,1.0
niki,8.344827586206897,1.25,1.75,2.0,1.25,3.4
nok-air,7.276595744680851,3.357142857142857,3.607142857142857,2.857142857142857,1.1481481481481481,4.0476190476190474
nordavia,7.0,7.0,7.0,7.0,7.0,1.0
norwegian,6.949468085106383,3.525,3.39,2.2005141388174807,2.792838874680307,3.5211581291759466
nouvelair,2.0,1.0,1.0,1.0,0.0,1.0
novair,7.0,7.0,7.0,7.0,7.0,1.0
okay-airways,6.25,3.0,1.6666666666666667,2.3333333333333335,0.3333333333333333,4.25
olympic-air,7.811320754716981,3.6153846153846154,4.115384615384615,3.8461538461538463,1.0833333333333333,3.6363636363636362
oman-air,7.586826347305389,4.226277372262774,3.7153284671532845,3.708029197080292,3.562043795620438,3.8693181818181817
onur-air,5.846938775510204,2.0,2.238095238095238,1.7619047619047619,0.7857142857142857,2.9302325581395348
openskies,6.354166666666667,0.6923076923076923,0.6923076923076923,0.5384615384615384,0.5384615384615384,2.392156862745098
orient-thai,7.052631578947368,0.6666666666666666,0.8333333333333334,0.5,0.0,2.8
pal-express,3.5,1.8571428571428572,2.2857142857142856,1.7142857142857142,0.8571428571428571,2.857142857142857
passaredo-linhas-aereas,8.0,8.0,8.0,8.0,8.0,4.0
peach-aviation,7.888888888888889,3.7777777777777777,4.555555555555555,3.125,0.0,4.333333333333333
pegasus-airlines,6.235849056603773,2.8596491228070176,2.9298245614035086,1.8839285714285714,1.1181818181818182,3.1515151515151514
peruvian-airlines,2.3333333333333335,2.0,2.0,2.0,1.0,2.3333333333333335
petroleum-air-services,8.0,8.0,8.0,8.0,8.0,4.0
philippine-airlines,6.444444444444445,3.1157894736842104,3.668421052631579,3.2842105263157895,2.0952380952380953,3.182142857142857
pia-pakistan-international-airlines,5.894117647058824,3.0535714285714284,3.232142857142857,3.0535714285714284,2.036363636363636,3.0470588235294116
porter-airlines,6.640449438202247,3.3384615384615386,2.8153846153846156,3.109375,0.5873015873015873,3.0707964601769913
precision,3.9642857142857144,3.0,2.5161290322580645,2.4838709677419355,0.8709677419354839,2.7419354838709675
qantas-airways,7.005172413793104,3.6913793103448276,3.962068965517241,3.4931034482758623,3.580589254766031,3.6086206896551722
qantaslink,7.514705882352941,1.0909090909090908,1.3181818181818181,0.7727272727272727,0.36363636363636365,2.864406779661017
qatar-airways,7.319105691056911,3.869918699186992,4.0772357723577235,3.772357723577236,3.7820773930753564,4.17479674796748
regent-airways,8.25,8.25,8.25,8.25,8.25,4.0
regional-express,6.2,2.875,3.125,2.125,0.125,2.6153846153846154
rossiya-airlines,5.64,2.411764705882353,2.9411764705882355,3.0,0.7058823529411765,3.4615384615384617
royal-air-maroc,4.345132743362832,2.378787878787879,2.196969696969697,2.3181818181818183,1.8181818181818181,1.9483870967741936
royal-brunei-airlines,7.542307692307692,3.864130434782609,4.364130434782608,3.8206521739130435,3.4619565217391304,4.112781954887218
royal-jordanian-airlines,6.894736842105263,3.6864406779661016,3.4915254237288136,3.635593220338983,3.543103448275862,3.670886075949367
rwandair,5.933333333333334,3.25,2.875,2.5,1.5,2.8
ryanair,6.5397727272727275,2.870820668693009,3.0364741641337387,1.7433070866141733,1.6666666666666667,3.278115501519757
s7-siberia-airlines,7.523809523809524,3.0,3.1666666666666665,2.6666666666666665,1.6,3.590909090909091
sa-express,7.136363636363637,1.3,1.3,1.3,0.9,2.0
safi-airways,5.142857142857143,1.0,2.0,1.0,5.142857142857143,1.6666666666666667
santa-barbara,5.066666666666666,2.0,3.0,3.0,2.0,2.380952380952381
sas-scandinavian-airlines,5.893772893772894,3.037037037037037,3.474747474747475,2.545762711864407,1.5017301038062283,3.090909090909091
sata-air-azores,5.613636363636363,0.5714285714285714,0.8571428571428571,0.9047619047619048,0.10526315789473684,1.5588235294117647
sata-internacional,5.25531914893617,2.7142857142857144,2.8214285714285716,2.5,1.6428571428571428,2.673076923076923
saudi-arabian-airlines,5.878504672897196,3.4767441860465116,3.127906976744186,3.2790697674418605,2.616279069767442,3.3884297520661155
scoot,6.654545454545454,3.252688172043011,3.3333333333333335,2.0108108108108107,0.8688524590163934,3.6666666666666665
shaheen-air,6.142857142857143,3.3333333333333335,3.8333333333333335,3.5,0.2,3.8333333333333335
shandong-airlines,6.2727272727272725,3.25,3.5,3.5,2.0,3.2857142857142856
shanghai-airlines,5.34,2.870967741935484,3.2580645161290325,2.6774193548387095,1.3548387096774193,3.076923076923077
shenzhen-airlines,5.2,3.4,3.4,2.6,2.0,3.3
sichuan-airlines,7.5,4.333333333333333,4.0,4.0,1.625,3.9285714285714284
silkair,7.565217391304348,3.816901408450704,4.140845070422535,3.323943661971831,1.8571428571428572,3.5508474576271185
singapore-airlines,7.773148148148148,3.8425925925925926,4.349537037037037,4.00462962962963,4.041666666666667,3.925925925925926
sky-airline,7.375,3.0,2.6666666666666665,3.0,1.0,3.375
sky-express-airlines,7.0,3.0,5.0,4.0,7.0,5.0
skybus,3.0,3.0,3.0,3.0,3.0,1.0
skymark-airlines,8.7,4.2,5.0,3.4,0.8,4.4
skywest-airlines,7.173913043478261,3.2,3.2,0.75,0.75,2.65
small-planet-airlines-uab,6.52,3.32,3.76,3.0,1.3,3.52
smartwings,4.5,1.6,2.0,0.75,0.6666666666666666,2.375
sol-lineas-aereas,1.0,1.0,1.0,1.0,1.0,1.0
solomon-airlines,7.8,4.0,4.4,3.4,1.2,3.8
somon-air,5.5,4.0,3.5,3.0,1.0,4.0
south-african-airways,6.448412698412699,3.4356435643564356,3.50990099009901,3.5,2.809045226130653,3.092936802973978
southwest-airlines,6.84012539184953,3.1792452830188678,3.479623824451411,2.805111821086262,2.5,3.3984168865435356
