ident,type,name,iata_code,coordinates
BIEG,medium_airport,Egilsstaðir Airport,EGS,"-14.401399612426758, 65.2833023071289"
BIHN,medium_airport,Hornafjörður Airport,HFN,"-15.2272, 64.295601"
BIHU,medium_airport,Húsavík Airport,HZK,"-17.426001, 65.952301"
BIIS,medium_airport,Ísafjörður Airport,IFJ,"-23.135299682617188, 66.05809783935547"
BISI,medium_airport,Siglufjörður Airport,SIJ,"-18.9167, 66.133301"
BKPR,large_airport,Prishtina International Airport,PRN,"21.035801, 42.5728"
EBLG,large_airport,Liège Airport,LGG,"5.443220138549805, 50.63740158081055"
EDDB,large_airport,Berlin-Schönefeld Airport,SXF,"13.5225, 52.380001"
EDDG,large_airport,Münster Osnabrück Airport,FMO,"7.68483018875, 52.134601593"
EDDL,large_airport,Düsseldorf Airport,DUS,"6.76678, 51.289501"
EDDR,medium_airport,Saarbrücken Airport,SCN,"7.10950994492, 49.214599609400004"
EDHL,medium_airport,Lübeck Blankensee Airport,LBC,"10.7192001343, 53.8054008484"
EDLN,medium_airport,Mönchengladbach Airport,MGL,"6.504444, 51.230278"
EEKA,medium_airport,Kärdla Airport,KDL,"22.830699920654297, 58.99079895019531"
EEPU,medium_airport,Pärnu Airport,EPU,"24.47279930114746, 58.41899871826172"
EFKT,medium_airport,Kittilä Airport,KTT,"24.846799850464, 67.700996398926"
EFSI,medium_airport,Seinäjoki Airport,SJY,"22.8323, 62.692101"
EKSB,medium_airport,Sønderborg Airport,SGD,"9.791729927062988, 54.96440124511719"
ENAL,medium_airport,Ålesund Airport,AES,"6.119699954986572, 62.5625"
ENAN,medium_airport,Andøya Airport,ANX,"16.144199371338, 69.292503356934"
ENBN,medium_airport,Brønnøysund Airport,BNN,"12.217499732971, 65.461097717285"
ENBO,large_airport,Bodø Airport,BOO,"14.365300178527832, 67.26920318603516"
ENBS,medium_airport,Båtsfjord Airport,BJF,"29.691400527954, 70.60050201416"
ENBV,medium_airport,Berlevåg Airport,BVG,"29.034201, 70.871399"
ENFL,medium_airport,Florø Airport,FRO,"5.0247201919556, 61.583599090576"
ENKR,medium_airport,Kirkenes Airport (Høybuktmoen),KKN,"29.891300201416, 69.725799560547"
ENMS,medium_airport,Mosjøen Airport (Kjærstad),MJF,"13.214900016785, 65.783996582031"
ENOL,medium_airport,Ørland Airport,OLA,"9.604000091552734, 63.69889831542969"
ENOV,medium_airport,"Ørsta-Volda Airport, Hovden",HOV,"6.0741000175476, 62.180000305176"
ENRA,medium_airport,"Mo i Rana Airport, Røssvoll",MQN,"14.301400184631, 66.363899230957"
ENRM,medium_airport,"Rørvik Airport, Ryum",RVK,"11.14610004425, 64.838302612305"
ENRO,medium_airport,Røros Airport,RRS,"11.342300415039, 62.578399658203"
ENSH,medium_airport,Svolvær Helle Airport,SVJ,"14.669199943542, 68.243301391602"
ENSR,medium_airport,Sørkjosen Airport,SOJ,"20.959400177002, 69.786796569824"
ENSS,medium_airport,"Vardø Airport, Svartnes",VAW,"31.044900894165, 70.355400085449"
ENST,medium_airport,Sandnessjøen Airport (Stokka),SSJ,"12.468899726868, 65.956802368164"
ENTC,large_airport,Tromsø Airport,TOS,"18.918899536132812, 69.68329620361328"
ENVA,large_airport,Trondheim Airport Værnes,TRD,"10.9239998, 63.4578018"
ENVD,medium_airport,Vadsø Airport,VDS,"29.844699859619, 70.065299987793"
EPBP,medium_airport,Biała Podlaska Airfield,BXP,"23.1325278, 52.00078"
EPGD,large_airport,Gdańsk Lech Wałęsa Airport,GDN,"18.46619987487793, 54.377601623535156"
EPKK,large_airport,Kraków John Paul II International Airport,KRK,"19.7848, 50.077702"
EPLL,medium_airport,Łódź Władysław Reymont Airport,LCJ,"19.3980998993, 51.721900939899996"
EPPO,large_airport,Poznań-Ławica Airport,POZ,"16.8262996674, 52.421001434299995"
EPRZ,medium_airport,Rzeszów-Jasionka Airport,RZE,"22.018999, 50.110001"
EPSC,medium_airport,"Szczecin-Goleniów ""Solidarność” Airport",SZZ,"14.902199745199999, 53.584701538100006"
EPWR,large_airport,Copernicus Wrocław Airport,WRO,"16.885799408, 51.1026992798"
EPZG,medium_airport,Zielona Góra-Babimost Airport,IEG,"15.7986001968, 52.138500213600004"
ESGJ,medium_airport,Jönköping Airport,JKG,"14.068699836730957, 57.757598876953125"
ESGR,medium_airport,Skövde Airport,KVB,"13.972700119018555, 58.45640182495117"
ESGT,medium_airport,Trollhättan–Vänersborg Airport,THN,"12.345000267028809, 58.31809997558594"
ESMS,large_airport,Malmö Sturup Airport,MMX,"13.376197814900001, 55.536305364"
ESMX,medium_airport,Växjö Kronoberg Airport,VXO,"14.727999687194824, 56.929100036621094"
ESNG,medium_airport,Gällivare Airport,GEV,"20.814599990844727, 67.13240051269531"
ESNK,medium_airport,Kramfors Sollefteå Airport,KRF,"17.76889991760254, 63.04859924316406"
ESNN,medium_airport,Sundsvall-Timrå Airport,SDL,"17.443899154663086, 62.528099060058594"
ESNO,medium_airport,Örnsköldsvik Airport,OER,"18.989999771118164, 63.40829849243164"
ESNS,medium_airport,Skellefteå Airport,SFT,"21.076900482177734, 64.62480163574219"
ESNU,medium_airport,Umeå Airport,UME,"20.282800674438, 63.791801452637"
ESNY,medium_airport,Söderhamn Airport,SOO,"17.09910011291504, 61.26150131225586"
ESNZ,medium_airport,Åre Östersund Airport,OSD,"14.50030040741, 63.194400787354"
ESOE,medium_airport,Örebro Airport,ORB,"15.038000106811523, 59.22370147705078"
ESOW,medium_airport,Stockholm Västerås Airport,VST,"16.63360023498535, 59.58940124511719"
ESPA,large_airport,Luleå Airport,LLA,"22.121999740601, 65.543800354004"
ESSK,medium_airport,Gävle Sandviken Airport,GVX,"16.951400756835938, 60.593299865722656"
ESSL,medium_airport,Linköping City Airport,LPI,"15.680500030500001, 58.4062004089"
ESSP,medium_airport,Norrköping Airport,NRK,"16.250600814819336, 58.586299896240234"
ESTA,medium_airport,Ängelholm-Helsingborg Airport,AGH,"12.847100257873535, 56.29610061645508"
EVLA,medium_airport,Liepāja International Airport,LPX,"21.096900939941406, 56.51750183105469"
EYPP,medium_airport,Panevėžys Air Base,PNV,"24.460800170898438, 55.729400634765625"
EYSA,medium_airport,Šiauliai International Airport,SQQ,"23.395000457763672, 55.89390182495117"
LEAM,medium_airport,Almería International Airport,LEI,"-2.3701000213623047, 36.84389877319336"
LEBA,medium_airport,Córdoba Airport,ODB,"-4.848879814147949, 37.84199905395508"
LECH,medium_airport,Castellón-Costa Azahar Airport,CDT,"0.073333, 40.213889"
LECO,medium_airport,A Coruña Airport,LCG,"-8.37726, 43.302101"
LEMD,large_airport,Adolfo Suárez Madrid-Barajas Airport,MAD,"-3.56264, 40.471926"
LEMG,large_airport,Málaga Airport,AGP,"-4.499110221862793, 36.67490005493164"
LETO,medium_airport,Torrejón Airport,TOJ,"-3.4458699226379395, 40.496700286865234"
LFAT,medium_airport,Le Touquet-Côte d'Opale Airport,LTQ,"1.6205899715423584, 50.517398834228516"
LFBD,large_airport,Bordeaux-Mérignac Airport,BOD,"-0.715556025505, 44.828300476100004"
LFBE,medium_airport,Bergerac-Roumanière Airport,EGC,"0.5186110138893127, 44.82529830932617"
LFBG,medium_airport,Cognac-Châteaubernard (BA 709) Air Base,CNG,"-0.3174999952316284, 45.65829849243164"
LFBH,medium_airport,La Rochelle-Île de Ré Airport,LRH,"-1.1952799558639526, 46.17919921875"
LFBK,medium_airport,Montluçon – Guéret  Airport,MCU,"2.363960027694702, 46.222599029541016"
LFBN,medium_airport,Niort-Souché Airport,NIT,"-0.394529, 46.313477"
LFBP,medium_airport,Pau Pyrénées Airport,PUF,"-0.41861099004745483, 43.380001068115234"
LFBT,medium_airport,Tarbes-Lourdes-Pyrénées Airport,LDE,"-0.006438999902456999, 43.1786994934082"
LFBU,medium_airport,Angoulême-Brie-Champniers Airport,ANG,"0.22145600616931915, 45.72919845581055"
LFBX,medium_airport,Périgueux-Bassillac Airport,PGX,"0.815555989742279, 45.19810104370117"
LFCI,medium_airport,Albi-Le Séquestre Airport,LBI,"2.1130599975585938, 43.91389846801758"
LFCY,medium_airport,Royan-Médis Airport,RYN,"-0.9725000262260437, 45.62810134887695"
LFEY,medium_airport,Île d'Yeu Airport,IDY,"-2.3911099433898926, 46.71860122680664"
LFHO,medium_airport,Aubenas-Ardèche Méridionale Airport,OBS,"4.372192, 44.544203"
LFKJ,medium_airport,Ajaccio-Napoléon Bonaparte Airport,AJA,"8.8029203414917, 41.92359924316406"
LFLB,medium_airport,Chambéry-Savoie Airport,CMF,"5.880229949951172, 45.638099670410156"
LFLL,large_airport,Lyon Saint-Exupéry Airport,LYS,"5.081111, 45.725556"
LFLS,medium_airport,Grenoble-Isère Airport,GNB,"5.32937, 45.3629"
LFLX,medium_airport,"Châteauroux-Déols ""Marcel Dassault"" Airport",CHR,"1.721111, 46.860278"
LFMH,medium_airport,Saint-Étienne–Bouthéon Airport,EBU,"4.296390056610107, 45.54059982299805"
LFMN,large_airport,Nice-Côte d'Azur Airport,NCE,"7.215869903560001, 43.6584014893"
LFMP,medium_airport,Perpignan-Rivesaltes (Llabanère) Airport,PGF,"2.8706700801849365, 42.74039840698242"
LFMT,medium_airport,Montpellier-Méditerranée Airport,MPL,"3.96301007270813, 43.57619857788086"
LFMU,medium_airport,Béziers-Vias Airport,BZR,"3.3538999557495117, 43.32350158691406"
LFOB,medium_airport,Paris Beauvais Tillé Airport,BVA,"2.1127800941467285, 49.45439910888672"
LFOE,medium_airport,Évreux-Fauville (BA 105) Air Base,EVX,"1.2198599576950073, 49.02870178222656"
LFOJ,medium_airport,Orléans-Bricy (BA 123) Air Base,ORE,"1.7605600357100002, 47.9878005981"
LFOK,medium_airport,Châlons-Vatry Airport,XCR,"4.206111111, 48.7733333333"
LFPT,medium_airport,Aerodrome de Pontoise - Cormeilles en Vexin,POX,"2.040833, 49.096667"
LFPV,medium_airport,Villacoublay-Vélizy (BA 107) Air Base,VIY,"2.1916667, 48.7741667"
LFQJ,medium_airport,Maubeuge-Élesmes Airport,XME,"4.033120155334473, 50.31050109863281"
LFQV,medium_airport,Charleville-Mézières Airport,XCZ,"4.647079944610596, 49.78390121459961"
LFRO,medium_airport,Lannion-Côte de Granit Airport,LAI,"-3.47166, 48.754398"
LFSG,medium_airport,Épinal-Mirecourt Airport,EPL,"6.06998, 48.325001"
LFTH,medium_airport,Toulon-Hyères Airport,TLN,"6.14602994919, 43.0973014832"
LFTW,medium_airport,Nîmes-Alès-Camargue Airport,FNI,"4.4163498878479, 43.75740051269531"
LHPP,medium_airport,Pécs-Pogány Airport,PEV,"18.240996, 45.990898"
LHSM,medium_airport,Hévíz-Balaton Airport,SOB,"17.159084, 46.686391"
LHTA,medium_airport,Taszár Air Base,TZR,"17.917499542236328, 46.39310073852539"
LIBD,large_airport,Bari Karol Wojtyła Airport,BRI,"16.760599, 41.138901"
LIBR,medium_airport,Brindisi-Salento Airport,BDS,"17.947001, 40.6576"
LICJ,large_airport,Falcone-Borsellino Airport,PMO,"13.091, 38.175999"
LIET,medium_airport,Tortolì Airport,TTB,"9.68298, 39.9188"
LIPK,medium_airport,Forlì Airport,FRL,"12.0701, 44.194801"
LIPQ,medium_airport,Trieste–Friuli Venezia Giulia Airport,TRS,"13.4722, 45.827499"
LIRA,large_airport,Ciampino – G. B. Pastine International Airport,CIA,"12.5949, 41.7994"
LIRF,large_airport,Leonardo da Vinci – Fiumicino Airport,FCO,"12.2388889, 41.8002778"
LIRZ,medium_airport,Perugia San Francesco d'Assisi – Umbria International Airport,PEG,"12.5132, 43.095901"
LJLJ,large_airport,Ljubljana Jože Pučnik Airport,LJU,"14.4576, 46.223701"
LKMT,medium_airport,Ostrava Leoš Janáček Airport,OSR,"18.111099243164062, 49.6963005065918"
LKPO,medium_airport,Přerov Air Base,PRV,"17.404699325561523, 49.42580032348633"
LKPR,large_airport,Václav Havel Airport Prague,PRG,"14.26, 50.1008"
LKTB,medium_airport,Brno–Tuřany Airport,BRQ,"16.694400787353516, 49.15129852294922"
LOWL,medium_airport,Linz Hörsching Airport,LNZ,"14.1875, 48.2332"
LPBG,medium_airport,Bragança Airport,BGC,"-6.70713, 41.8578"
LPPD,large_airport,João Paulo II Airport,PDL,"-25.6979007721, 37.7411994934"
LPPM,medium_airport,Portimão Airport,PRM,"-8.58396, 37.1493"
LPPR,large_airport,Francisco de Sá Carneiro Airport,OPO,"-8.68138980865, 41.2481002808"
LPSJ,medium_airport,São Jorge Airport,SJZ,"-28.1758, 38.665501"
LRBC,medium_airport,Bacău Airport,BCM,"26.91029930114746, 46.52190017700195"
LRBM,medium_airport,Maramureș International Airport,BAY,"23.467252, 47.660598"
