ident,type,name,iata_code,coordinates
UMBB,medium_airport,Brest Airport,BQT,"23.8981, 52.108299"
UMGG,medium_airport,Gomel Airport,GME,"31.016700744628906, 52.527000427246094"
UMII,medium_airport,Vitebsk Vostochny Airport,VTB,"30.349599838257, 55.126499176025"
UMKK,medium_airport,Khrabrovo Airport,KGD,"20.592599868774414, 54.88999938964844"
UMMG,medium_airport,Hrodna Airport,GNA,"24.053800582885742, 53.60200119018555"
UMMS,large_airport,Minsk National Airport,MSQ,"28.030700683594, 53.882499694824"
UMOO,medium_airport,Mogilev Airport,MVQ,"30.09510040283203, 53.954898834228516"
UNIP,medium_airport,Podkamennaya Tunguska Airport,TGP,"89.994003, 61.589699"
UNKL,large_airport,Yemelyanovo Airport,KJA,"92.493301, 56.172901"
UNWW,medium_airport,Spichenkovo Airport,NOZ,"86.877197, 53.811401"
URKA,medium_airport,Anapa Vityazevo Airport,AAQ,"37.347301483154, 45.002101898193"
URKE,medium_airport,Yeysk Airport,EIK,"38.21, 46.68"
URKG,medium_airport,Gelendzhik Airport,GDZ,"38.0124807358, 44.5820926295"
URKK,medium_airport,Krasnodar Pashkovsky International Airport,KRR,"39.170501708984, 45.034698486328"
URML,medium_airport,Uytash Airport,MCX,"47.65230178833008, 42.81679916381836"
URMM,medium_airport,Mineralnyye Vody Airport,MRV,"43.08190155029297, 44.225101470947266"
URMN,medium_airport,Nalchik Airport,NAL,"43.636600494384766, 43.512901306152344"
URMO,medium_airport,Beslan Airport,OGZ,"44.6066017151, 43.2051010132"
URMS,medium_airport,Magas Airport,IGT,"45.0125999451, 43.322299957300004"
URMT,medium_airport,Stavropol Shpakovskoye Airport,STW,"42.11280059814453, 45.10919952392578"
URRP,large_airport,Platov International Airport,ROV,"39.924722, 47.493888"
URRT,medium_airport,Taganrog Yuzhny Airport,TGK,"38.8491667, 47.1983333"
URSS,large_airport,Sochi International Airport,AER,"39.9566, 43.449902"
URWA,medium_airport,Astrakhan Airport,ASF,"48.0063018799, 46.2832984924"
URWI,medium_airport,Elista Airport,ESL,"44.33089828491211, 46.3739013671875"
URWW,medium_airport,Volgograd International Airport,VOG,"44.34550094604492, 48.782501220703125"
USCC,medium_airport,Chelyabinsk Balandino Airport,CEK,"61.5033, 55.305801"
USCM,medium_airport,Magnitogorsk International Airport,MQF,"58.755699157714844, 53.39310073852539"
USDA,medium_airport,Sabetta International Airport,SBT,"72.052222, 71.219167"
USHN,medium_airport,Nyagan Airport,NYA,"65.614998, 62.110001"
USHY,medium_airport,Beloyarskiy Airport,EYK,"66.698601, 63.686901"
USII,medium_airport,Izhevsk Airport,IJK,"53.45750045776367, 56.82809829711914"
USKK,medium_airport,Pobedilovo Airport,KVX,"49.348300933838, 58.503299713135"
USPP,medium_airport,Bolshoye Savino Airport,PEE,"56.021198272705, 57.914501190186"
UUBA,medium_airport,Kostroma Sokerkino Airport,KMW,"41.019401550299996, 57.7969017029"
UUBC,medium_airport,Grabtsevo Airport,KLF,"36.3666687012, 54.5499992371"
UUBI,medium_airport,Ivanovo South Airport,IWA,"40.940799713134766, 56.93939971923828"
UUBK,medium_airport,Staroselye Airport,RYB,"38.92940139770508, 58.10419845581055"
UUBP,medium_airport,Bryansk Airport,BZK,"34.176399, 53.214199"
UUBW,large_airport,Zhukovsky International Airport,ZIA,"38.150002, 55.553299"
UUDD,large_airport,Domodedovo International Airport,DME,"37.90629959106445, 55.40879821777344"
UUEE,large_airport,Sheremetyevo International Airport,SVO,"37.4146, 55.972599"
UUEM,medium_airport,Migalovo Air Base,KLD,"35.7577018737793, 56.82469940185547"
UUMO,medium_airport,Ostafyevo International Airport,OSF,"37.507222, 55.511667"
UUMU,medium_airport,Chkalovskiy Air Base,CKL,"38.061699, 55.8783"
UUOB,medium_airport,Belgorod International Airport,EGO,"36.5900993347168, 50.643798828125"
UUOK,medium_airport,Kursk East Airport,URS,"36.29560089111328, 51.7505989074707"
UUOL,medium_airport,Lipetsk Airport,LPK,"39.53779983520508, 52.70280075073242"
UUOO,medium_airport,Voronezh International Airport,VOZ,"39.22959899902344, 51.81420135498047"
UUOR,medium_airport,Oryol Yuzhny Airport,OEL,"36.0022010803, 52.934700012200004"
UUOT,medium_airport,Donskoye Airport,TBW,"41.482799530029, 52.806098937988"
UUWW,large_airport,Vnukovo International Airport,VKO,"37.2615013123, 55.5914993286"
UUYH,medium_airport,Ukhta Airport,UCT,"53.8046989440918, 63.566898345947266"
UUYP,medium_airport,Pechora Airport,PEX,"57.13079833984375, 65.12110137939453"
UUYS,medium_airport,Usinsk Airport,USK,"57.3671989440918, 66.00469970703125"
UUYX,medium_airport,Ust-Tsylma Airport,UTS,"52.20033645629999, 65.43729400630001"
UUYY,medium_airport,Syktyvkar Airport,SCW,"50.84510040283203, 61.64699935913086"
UWGG,medium_airport,Nizhny Novgorod Strigino International Airport,GOJ,"43.784000396729, 56.230098724365"
UWKB,medium_airport,Bugulma Airport,UUA,"52.801700592041016, 54.63999938964844"
UWKD,large_airport,Kazan International Airport,KZN,"49.278701782227, 55.606201171875"
UWKE,medium_airport,Begishevo Airport,NBC,"52.092498779296875, 55.564701080322266"
UWKJ,medium_airport,Yoshkar-Ola Airport,JOK,"47.904701232910156, 56.700599670410156"
UWKS,medium_airport,Cheboksary Airport,CSY,"47.3473014831543, 56.090301513671875"
UWLL,medium_airport,Ulyanovsk Baratayevka Airport,ULV,"48.226699829100006, 54.26829910279999"
UWLW,medium_airport,Ulyanovsk East Airport,ULY,"48.80270004272461, 54.4010009765625"
UWOO,medium_airport,Orenburg Central Airport,REN,"55.45669937133789, 51.795799255371094"
UWOR,medium_airport,Orsk Airport,OSW,"58.59560012817383, 51.0724983215332"
UWPP,medium_airport,Penza Airport,PEZ,"45.02109909057617, 53.110599517822266"
UWPS,medium_airport,Saransk Airport,SKX,"45.212257385253906, 54.12512969970703"
UWSB,medium_airport,Balakovo Airport,BWO,"47.7456016541, 51.8582992554"
UWSS,medium_airport,Saratov Central Airport,RTW,"46.04669952392578, 51.564998626708984"
UWUU,large_airport,Ufa International Airport,UFA,"55.874401092529, 54.557498931885"
UWWW,large_airport,Kurumoch International Airport,KUF,"50.16429901123, 53.504901885986"
XUBS,medium_airport,Smolensk North Airport,LNX,"32.025, 54.824"
